carrier,lat,lon
La Poste,48.434194,2.161786
La Poste,48.6308651,2.42697572
La Poste,48.702195,2.132598
La Poste,48.690598,2.375585
La Poste,48.7325,2.28981
La Poste,48.706597,2.457327
La Poste,48.640096,2.271407
La Poste,48.704698,2.330237
La Poste,48.653093,2.35153
La Poste,48.700281,2.18714469
La Poste,48.712295,2.24574
La Poste,48.647995,2.407229
La Poste,48.679099,2.345877
La Poste,48.745999,2.268827
La Poste,48.703042,2.427708
La Poste,48.672594,2.375554
La Poste,48.682198,2.169002
La Poste,48.603961,2.46973
La Poste,48.730992,2.274961
La Poste,48.910492,2.287917
La Poste,48.916,2.268017
La Poste,48.828698,2.232808
